Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Zanesville, OH Micro Area",34485,1225,5079,5370,5310,4819,2286,2438,678,941,2613,2760,966,2011
"Aberdeen, WA Micro Area",25573,1793,4168,4445,3268,1230,1203,3647,462,914,1431,1793,1219,2011
"Abilene, TX Metro Area",65458,4654,10795,18804,14197,7767,2016,3506,269,438,1133,1203,676,2011
"Adrian, MI Micro Area",41741,1987,6030,5546,5021,4975,2395,4078,1216,1911,3635,3715,1232,2011
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",70300,4664,9371,9965,12515,6665,4082,5680,2374,3093,5152,3889,2850,2011
"Akron, OH Metro Area",312226,9139,27710,50776,56390,49469,21110,37609,9624,13044,22455,11287,3613,2011
"Alamogordo, NM Micro Area",24487,1903,3526,3492,4775,3897,1449,2234,177,543,1285,821,385,2011
"Albany, GA Metro Area",56554,1978,5788,10939,12724,8250,3202,7722,1273,530,2397,881,870,2011
"Albany-Lebanon, OR Micro Area",43118,2501,5469,6690,3885,5814,3865,5950,1813,2464,2277,1650,740,2011
"Albany-Schenectady-Troy, NY Metro Area",415357,11609,41780,65524,72806,74563,30656,56176,11325,14935,20070,10791,5122,2011
"Albertville, AL Micro Area",33910,1450,5013,6019,5519,3583,843,3587,1380,478,3344,1495,1199,2011
"Albuquerque, NM Metro Area",368100,10154,32807,48274,66481,72996,20366,57694,9464,10190,20020,12721,6933,2011
"Alexandria, LA Metro Area",55075,1331,8129,10964,9696,7743,3147,6936,632,1388,2733,755,1621,2011
"Allegan, MI Micro Area",46008,1426,5964,5722,6499,6350,4059,7401,1617,1794,3193,851,1132,2011
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",358902,12638,36510,49596,57060,56811,21567,38834,7900,12779,26358,25344,13505,2011
"Altoona, PA Metro Area",54847,3273,7798,11757,11382,6961,2923,4812,811,1224,2457,891,558,2011
"Amarillo, TX Metro Area",113177,3965,15983,26492,22861,17355,3899,10813,1482,1761,3369,3220,1977,2011
"Ames, IA Metro Area",45719,2162,8031,13188,8464,5029,1293,2149,696,1427,2682,435,163,2011
"Anchorage, AK Metro Area",183129,6603,21894,34173,39296,32712,9327,16108,3353,2317,5859,8442,3045,2011
"Anderson, IN Metro Area",49340,2461,6471,8150,7340,5601,2497,4981,1243,2279,4744,2454,1119,2011
"Anderson, SC Metro Area",74331,2972,7316,13348,10702,10505,4323,9888,2350,2242,6080,3033,1572,2011
"Ann Arbor, MI Metro Area",156253,3885,15471,27022,27868,24654,10567,19595,3751,4529,9979,6923,2009,2011
"Anniston-Oxford, AL Metro Area",46122,2374,4628,5142,8436,7820,4190,6479,729,1022,2413,1741,1148,2011
"Appleton, WI Metro Area",112916,3806,15463,24426,20429,18558,7819,10991,2758,2727,3206,1256,1477,2011
"Asheville, NC Metro Area",173102,5735,19925,28676,32076,27988,13672,21125,3498,4514,8654,5668,1571,2011
"Ashtabula, OH Micro Area",37581,2361,4589,6160,5629,4629,2474,3060,848,1500,2736,2576,1019,2011
"Athens, TX Micro Area",28457,1621,3724,3697,4102,2831,1604,3713,622,542,2186,2708,1107,2011
"Athens-Clarke County, GA Metro Area",76982,2634,10047,15260,17782,12038,3164,7101,1151,1304,2338,2887,1276,2011
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2264984,38588,141496,241939,281085,308241,136613,374372,80761,123216,263611,202421,72641,2011
"Atlantic City-Hammonton, NJ Metro Area",118240,5622,12375,17493,17520,22230,8602,12436,2367,3920,6606,5915,3154,2011
"Auburn, NY Micro Area",34757,2310,5850,6202,4542,3903,1722,3575,1323,1049,2823,1062,396,2011
"Auburn-Opelika, AL Metro Area",60941,2740,6782,12236,11553,9530,4020,5625,548,2188,3744,1435,540,2011
"Augusta-Richmond County, GA-SC Metro Area",229151,4893,19208,36584,44773,43175,14806,28966,4668,5661,14370,8102,3945,2011
"Augusta-Waterville, ME Micro Area",56153,3252,7479,8613,9442,7401,3497,6369,1169,1671,3063,3017,1180,2011
"Austin-Round Rock-San Marcos, TX Metro Area",813089,17256,74377,106332,131448,129541,49568,129360,19387,34911,63701,39834,17374,2011
"Bakersfield-Delano, CA Metro Area",300114,8370,38398,51265,51354,46623,15740,39361,3593,7356,15407,14378,8269,2011
"Baltimore-Towson, MD Metro Area",1262209,19468,80350,127783,170112,184449,84223,204564,42634,62364,134932,104346,46984,2011
"Bangor, ME Metro Area",67398,3601,8541,13186,10485,9581,3299,7145,1444,1617,3462,2910,2127,2011
"Barnstable Town, MA Metro Area",94991,3626,12400,18503,15489,11767,4937,10168,1451,2674,5873,4293,3810,2011
"Baton Rouge, LA Metro Area",358012,10141,26266,43857,62764,64090,17428,56619,9201,10321,32270,17482,7573,2011
"Battle Creek, MI Metro Area",50525,2018,5595,11960,7403,8989,4064,4537,798,759,2056,1511,835,2011
"Bay City, MI Metro Area",42896,2198,6231,7388,7943,6616,3629,3971,1165,750,1054,912,1039,2011
"Beaumont-Port Arthur, TX Metro Area",154965,6339,20595,24608,29487,22198,8307,21620,4019,3652,7413,4745,1982,2011
"Beaver Dam, WI Micro Area",40750,3999,7114,6172,5533,4068,2692,3055,1596,1394,2898,1902,327,2011
"Beckley, WV Micro Area",29819,688,5016,5431,5933,3902,500,2866,811,438,1724,1652,858,2011
"Bellingham, WA Metro Area",88515,4207,11855,14890,21068,12146,4795,9918,1487,1867,2139,2800,1343,2011
"Bend, OR Metro Area",61963,4044,10692,16695,11207,6726,2170,3989,475,755,3164,810,1236,2011
"Billings, MT Metro Area",78092,2796,11940,17519,14901,16287,3332,4759,1060,652,2036,1133,1677,2011
"Binghamton, NY Metro Area",104530,3522,14254,23811,19502,16562,6709,8764,1500,1722,4819,2276,1089,2011
"Birmingham-Hoover, AL Metro Area",464066,10905,36663,55449,67617,74635,28917,82060,14753,18463,42001,23131,9472,2011
"Bismarck, ND Metro Area",59826,2780,11116,12921,15433,6734,1984,2189,813,314,1292,2055,2195,2011
"Blacksburg-Christiansburg-Radford, VA Metro Area",67493,3153,9197,14789,12554,9410,4774,5453,2271,1416,2861,971,644,2011
"Bloomington, IN Metro Area",87530,3735,11193,19296,17202,10900,4713,5803,790,2286,4932,4687,1993,2011
"Bloomington-Normal, IL Metro Area",82433,4048,12953,22426,19767,8742,2649,3937,991,1380,3193,1177,1170,2011
"Bloomsburg-Berwick, PA Micro Area",36697,1739,5040,7351,4753,6694,2074,3592,609,1361,2046,1081,357,2011
"Bluefield, WV-VA Micro Area",38625,1899,6112,6990,6757,4490,919,4484,544,696,1785,1895,2054,2011
"Boise City-Nampa, ID Metro Area",245266,7227,27131,45456,47535,45546,16467,28771,4548,5491,10051,4089,2954,2011
"Boston-Cambridge-Quincy, MA-NH Metro Area",2194464,53296,184395,256434,271615,284312,121899,341550,75118,107137,240268,197541,60899,2011
"Boulder, CO Metro Area",137635,4803,17406,23830,24183,19979,7339,16234,3646,3389,9005,5708,2113,2011
"Bowling Green, KY Metro Area",60516,2428,11080,10263,12945,8564,4418,4222,1165,573,2743,1171,944,2011
"Bozeman, MT Micro Area",44145,2948,9454,9854,9749,5639,1938,2699,159,281,193,637,594,2011
"Brainerd, MN Micro Area",35801,2189,4494,7080,5879,5371,2073,4233,408,584,1485,1044,961,2011
"Branson, MO Micro Area",29954,1595,2851,7204,3725,4846,1034,2519,1299,807,2223,1276,575,2011
"Bremerton-Silverdale, WA Metro Area",105275,3454,9081,17072,15462,16180,7646,12041,2603,2306,4663,7476,7291,2011
"Bridgeport-Stamford-Norwalk, CT Metro Area",413362,9810,37969,63843,71625,61506,17261,46273,8756,14762,27986,31745,21826,2011
"Brownsville-Harlingen, TX Metro Area",136105,4360,15018,24910,27725,25829,6623,18233,2818,2809,4193,2001,1586,2011
"Brunswick, GA Metro Area",42769,2710,5432,7881,8649,4744,2283,4567,880,283,2918,1787,635,2011
"Buffalo-Niagara Falls, NY Metro Area",503933,17973,59777,81687,86859,94359,41020,58971,13263,15835,18987,10270,4932,2011
"Burlington, NC Metro Area",65824,1078,6823,10027,14516,7699,4316,8787,2115,2151,4755,2726,831,2011
"Burlington-South Burlington, VT Metro Area",107616,4663,13963,16828,19544,16716,7480,11295,3118,3822,5710,2742,1735,2011
"Canton-Massillon, OH Metro Area",173719,7943,21997,28680,31035,26574,10438,18786,4343,5141,9735,6180,2867,2011
"Cape Coral-Fort Myers, FL Metro Area",223356,5032,13188,28700,36280,28330,14292,41858,6276,9172,23620,10022,6586,2011
"Cape Girardeau-Jackson, MO-IL Metro Area",41261,2793,6250,6992,7110,4948,1895,5076,561,660,2412,2064,500,2011
"Carson City, NV Metro Area",22490,1135,4018,7163,3294,1371,1176,1575,507,1238,600,286,127,2011
"Casper, WY Metro Area",37442,1592,5828,9695,10917,4635,810,1170,0,289,821,384,1301,2011
"Cedar Rapids, IA Metro Area",129218,6263,20718,25299,24246,17507,8532,10123,3139,3031,5314,3515,1531,2011
"Centralia, WA Micro Area",26920,1027,3404,4897,3817,2988,1152,3041,784,1380,1726,1025,1679,2011
"Chambersburg, PA Micro Area",66063,2784,8266,10156,10268,9452,5071,7496,2007,1904,4444,2441,1774,2011
"Champaign-Urbana, IL Metro Area",100536,3547,13385,24823,21708,15527,5584,8097,1244,1385,2529,1479,1228,2011
"Charleston, WV Metro Area",121515,4941,13330,18267,21347,20852,8264,13055,2566,3514,7531,4794,3054,2011
"Charleston-Mattoon, IL Micro Area",26822,2202,5532,4370,4068,3062,929,3112,737,476,701,1080,553,2011
"Charleston-North Charleston-Summerville, SC Metro Area",290003,3745,27329,35246,48536,50801,19551,50302,8961,9340,20301,10927,4964,2011
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",781578,15434,65202,103967,126580,121812,58626,124379,31552,36739,56557,25490,15240,2011
"Charlottesville, VA Metro Area",84294,2690,6677,11210,19992,12072,5310,11820,2339,4008,2977,2783,2416,2011
"Chattanooga, TN-GA Metro Area",222459,6481,21893,30002,37959,39657,16385,35810,5937,7407,11673,6000,3255,2011
"Cheyenne, WY Metro Area",46866,3520,9528,14510,12032,3538,614,1382,56,206,523,280,677,2011
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4143034,74289,296146,442803,488242,532634,241449,641409,144959,244393,480144,416633,139933,2011
"Chico, CA Metro Area",79404,5296,14345,18682,14050,4964,3691,7671,1419,1660,3082,1708,2836,2011
"Chillicothe, OH Micro Area",28140,1083,3151,4378,5735,3746,1367,2535,196,715,1335,3054,845,2011
"Cincinnati-Middletown, OH-KY-IN Metro Area",944592,20459,86134,127268,148636,161358,75129,147523,33652,33494,69579,29705,11655,2011
"Clarksburg, WV Micro Area",37526,1524,3889,5712,7151,5396,2366,4213,655,1086,2543,1857,1134,2011
"Clarksville, TN-KY Metro Area",110674,4766,12187,12523,20736,18740,6936,15497,2934,2540,7989,4273,1553,2011
"Clearlake, CA Micro Area",20932,1084,3653,1682,2650,2780,597,2393,460,585,1600,1889,1559,2011
"Cleveland, TN Metro Area",48032,1649,3725,7982,10059,8042,1714,5644,683,1120,5198,1633,583,2011
"Cleveland-Elyria-Mentor, OH Metro Area",899546,21930,85998,122824,137108,145939,75144,138430,33228,41327,57278,26685,13655,2011
"Coamo, PR Micro Area",19303,68,2685,2164,3552,1439,536,3840,972,1688,834,1095,430,2011
"Coeur d'Alene, ID Metro Area",57345,2713,6589,11623,11220,10409,2603,3952,1043,2053,3430,1020,690,2011
"College Station-Bryan, TX Metro Area",99339,4407,15495,23947,22053,14516,2695,6126,1300,777,1538,3329,3156,2011
"Colorado Springs, CO Metro Area",292008,9700,29294,47961,54561,56654,20653,36199,5449,5422,13179,8027,4909,2011
"Columbia, MO Metro Area",86685,3264,11513,17885,20068,10394,4092,8523,2285,2299,3026,1384,1952,2011
"Columbia, SC Metro Area",338427,14182,27406,47593,57831,55346,24285,51572,11736,11636,22024,9524,5292,2011
"Columbia, TN Micro Area",35873,646,2644,4685,3782,4882,2255,3969,991,1856,5657,2992,1514,2011
"Columbus, GA-AL Metro Area",113315,2737,10545,20661,23846,22754,7240,12028,1436,2655,4752,3386,1275,2011
"Columbus, IN Metro Area",35485,1408,4803,6559,9061,5284,2191,1969,303,1269,1390,846,402,2011
"Columbus, OH Metro Area",846969,21330,78594,111471,142592,153138,68708,133904,23970,32913,47323,20609,12417,2011
"Concord, NH Micro Area",70596,2756,7085,9813,8222,9072,4810,10920,3212,3013,5973,3553,2167,2011
"Cookeville, TN Micro Area",38587,844,2789,6713,5820,10328,1773,5073,386,650,1538,872,1801,2011
"Coos Bay, OR Micro Area",20892,2024,4179,3502,1891,2439,1181,1713,391,709,1350,732,781,2011
"Corning, NY Micro Area",40751,3258,7295,6565,5264,4340,2400,4833,838,1044,2155,1920,839,2011
"Corpus Christi, TX Metro Area",182262,7887,23777,34818,38115,32099,8945,20774,2270,3317,4574,4015,1671,2011
"Corvallis, OR Metro Area",33185,869,5540,8149,7111,3021,1767,2360,340,876,964,1511,677,2011
"Crestview-Fort Walton Beach-Destin, FL Metro Area",83895,2743,10826,11667,13601,12746,4354,11998,1937,3188,7281,2335,1219,2011
"Cullman, AL Micro Area",31207,831,3498,5363,5487,3102,1883,2308,421,638,2852,4066,758,2011
"Cumberland, MD-WV Metro Area",38119,1569,6222,5533,7482,7432,1534,3639,617,612,891,1639,949,2011
"Dallas-Fort Worth-Arlington, TX Metro Area",2918497,58771,238660,353315,421845,450993,176891,507688,95706,121195,277304,167578,48551,2011
"Dalton, GA Metro Area",56210,1649,5519,10106,10955,11915,3570,7238,471,1035,2519,797,436,2011
"Danville, IL Metro Area",30421,1149,3075,7642,4232,3871,1295,3441,613,1299,2230,989,585,2011
"Danville, VA Metro Area",41018,1266,4133,6359,8275,6346,2454,4338,1375,1016,2681,1778,997,2011
"Daphne-Fairhope-Foley, AL Micro Area",81326,4387,7849,15584,11512,10812,3878,11905,1265,1894,6429,4297,1514,2011
"Davenport-Moline-Rock Island, IA-IL Metro Area",171288,6415,24027,37821,28173,31156,11171,14673,3075,3889,5322,3172,2394,2011
"Dayton, OH Metro Area",355672,13045,42223,62238,65843,60503,25698,40795,9077,7709,12786,10395,5360,2011
"Decatur, AL Metro Area",65231,1708,7130,8399,10061,8866,4176,10041,4028,2409,6014,1795,604,2011
"Decatur, IL Metro Area",47076,1672,6516,11830,12403,6408,1902,2227,146,266,1679,1484,543,2011
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",176695,3849,17095,27038,26041,26742,11629,26466,4342,6392,13019,8734,5348,2011
"Denver-Aurora-Broomfield, CO Metro Area",1223180,25214,87394,143585,185323,198224,88056,210963,37321,61941,99770,63100,22289,2011
"Des Moines-West Des Moines, IA Metro Area",280002,11701,31634,51319,52279,54955,24368,29300,4170,5583,6959,5379,2355,2011
"Detroit-Warren-Livonia, MI Metro Area",1708447,34214,134971,214549,249345,272024,123712,263827,64796,87816,149851,82315,31027,2011
"Dothan, AL Metro Area",59349,1929,8000,11654,9643,9534,2903,8848,1126,939,2964,885,924,2011
"Dover, DE Metro Area",71120,1544,7486,10754,12663,11024,3021,8003,1138,2287,4998,5699,2503,2011
"DuBois, PA Micro Area",33468,1489,6603,5341,4783,3464,1102,3517,694,1527,2134,1606,1208,2011
"Dubuque, IA Metro Area",47244,2076,8559,12843,9410,6987,1759,2592,443,554,427,832,762,2011
"Duluth, MN-WI Metro Area",124664,6855,19342,27234,20281,16351,6355,13342,2541,2602,5164,2248,2349,2011
"Dunn, NC Micro Area",47446,1435,3950,5223,6301,5521,3886,7208,3011,2843,5120,2352,596,2011
